Year,Station Code,State,Station Name,DO (mg/L),BOD (mg/L),FC (MPN/100ml),FS (MPN/100ml),pH
2022,1491,Uttarakhand,Bagirathi at Gangotri,10.2,1,1.8,1.8,7.3
2022,1485,Uttarakhand,"Mandakini B/C Alaknda, Rudraprayag",10,1,1.8,1.8,7.4
2022,1484,Uttarakhand,"Alaknanda B/C Mandakini, Rudra Prayag",10.2,1,1.8,1.8,7.4
2022,1486,Uttarakhand,"Alkananda A/C Mandakini, Rudraprayag",10.2,1,1.8,1.8,7.4
2022,1488,Uttarakhand,"Bhagirathi B/C Alaknda, Devprayag",10.1,1,1.8,1.8,7.4
2022,1487,Uttarakhand,"Alaknanda B/C Bhagirathi, Devprayag",10,1,1.8,1.8,7.4
2022,1489,Uttarakhand,"Alaknanda A/C Bhagirathi, Devprayag",10.2,1,1.8,1.8,7.5
2022,20048,Uttarakhand,Ganga at Swarg Ashram,9.6,1,18.5,1.8,7.3
2022,1060,Uttarakhand,U/S Rishikesh,10,1,9.1,1.8,7.5
2022,20049,Uttarakhand,Ganga at Lakkar Ghatoxidation Ponds,9.2,1.2,21,1.8,7.4
2022,10147,Uttarakhand,Rishikesh D/S,9.8,1,21,1.8,7.4
2022,2725,Uttarakhand,"A/C Song Near Satyarayan Temple, D/S Raiwala",9,1.4,40,1.8,7.6
2022,10148,Uttarakhand,Harki Pauri Ghat,8.9,1.6,42,14,7.7
2022,1061,Uttarakhand,Haridwar D/S,8.8,1.9,58,22,7.9
2022,20050,Uttarakhand,Ganga at Jagjitpur,8.5,1.5,58,27,7.7
2022,2727,Uttarakhand,Roorkee D/S,8.2,1.5,48.5,21,7.7
2022,10150,Uttar Pradesh,Madhya Ganga Barrage ( Bijnor),9.1,1.2,790,1.8,7.8
2022,10149,Uttar Pradesh,"U/S Brijghat, Garhmukteshwar",10,1.1,240,74.5,7.3
2022,1062,Uttar Pradesh,"Brijghat D/S, Gharmukteshwar",9.5,2.2,540,129.5,7.4
2022,2488,Uttar Pradesh,U/S Anoopshahar,9,2.1,220,NA,7.2
2022,2489,Uttar Pradesh,Anoopshahar D/S,8.9,1.9,350,NA,7.3
2022,1145,Uttar Pradesh,Narora ( Bulandsahar),8.7,1.9,540,NA,7.2
2022,2490,Uttar Pradesh,Kachhla Ghat ( Aligarh),9.6,1.2,210,1.8,7.4
2022,10151,Uttar Pradesh,Farrukhabad,8,3.1,1100,1.8,8.4
2022,1063,Uttar Pradesh,U/S Kannauj ( Rajghat),7.8,3.6,1500,1.8,8.4
2022,1066,Uttar Pradesh,Kannauj D/S,7.5,3.8,2100,1.8,8.3
2022,1146,Uttar Pradesh,Bithoor ( Kanpur),8,3.5,2000,39,8.5
2022,1067,Uttar Pradesh,U/S Kanpur ( Ranighat),7.9,3.6,2200,20,8.4
2022,10154,Uttar Pradesh,U/S Shuklaganj /bathing Ghat ( Bharaoghat),8,3.8,2200,46,8.4
2022,10155,Uttar Pradesh,Shuklaganj D/S,7.8,3.9,2400,21.5,8.4
2022,10156,Uttar Pradesh,Bathing Ghat ( Gola Ghat),7.5,4.2,2200,10.9,8.4
2022,10157,Uttar Pradesh,Bathing Ghat ( Jajmau Bridge),7.4,4.4,3300,20,8.3
2022,1068,Uttar Pradesh,Kanpur D/S ( Jajmau Pumping Station)/jane Vill.,7.1,4.7,5300,1.8,8.3
